Year,NOC,Rank,Gold,Silver,Bronze,Total,Market_Share_Gold,Market_Share_Total,Total_Events,is_host,Host_NOC,years_since_last,crossed_war,years_since_hosted,olympic_experience,first_medal_year,is_post_soviet,years_since_independence,NOC_original
1920,FIN,3,15,10,9,34,0.04132231404958678,0.09366391184573003,363,0,BEL,8.0,1,999,12,1908,0,0,Finland
1924,FIN,2,14,13,10,37,0.04794520547945205,0.1267123287671233,292,0,FRA,4.0,0,999,16,1908,0,0,Finland
1928,FIN,3,8,8,9,25,0.031746031746031744,0.0992063492063492,252,0,NED,4.0,0,999,20,1908,0,0,Finland
1932,FIN,8,5,8,12,25,0.018656716417910446,0.09328358208955224,268,0,USA,4.0,0,999,24,1908,0,0,Finland
1936,FIN,5,8,6,6,20,0.026490066225165563,0.06622516556291391,302,0,GER,4.0,0,999,28,1908,0,0,Finland
1948,FIN,6,8,7,5,20,0.02564102564102564,0.0641025641025641,312,0,GBR,12.0,1,999,40,1908,0,0,Finland
1952,FIN,8,6,3,13,22,0.01775147928994083,0.0650887573964497,338,1,FIN,4.0,0,0,44,1908,0,0,Finland
1956,FIN,13,3,1,11,15,0.008771929824561403,0.043859649122807015,342,0,AUS,4.0,0,4,48,1908,0,0,Finland
1960,FIN,17,1,1,3,5,0.0029411764705882353,0.014705882352941176,340,0,ITA,4.0,0,8,52,1908,0,0,Finland
1964,FIN,12,3,0,2,5,0.008108108108108109,0.013513513513513514,370,0,JPN,4.0,0,12,56,1908,0,0,Finland
1968,FIN,24,1,2,1,4,0.0025906735751295338,0.010362694300518135,386,0,MEX,4.0,0,16,60,1908,0,0,Finland
1972,FIN,14,3,1,4,8,0.00683371298405467,0.018223234624145785,439,0,GER,4.0,0,20,64,1908,0,0,Finland
1976,FIN,11,4,2,0,6,0.009009009009009009,0.013513513513513514,444,0,CAN,4.0,0,24,68,1908,0,0,Finland
1980,FIN,12,3,1,4,8,0.006607929515418502,0.01762114537444934,454,0,RUS,4.0,0,28,72,1908,0,0,Finland
1984,FIN,15,4,2,6,12,0.008130081300813009,0.024390243902439025,492,0,USA,4.0,0,32,76,1908,0,0,Finland
1988,FIN,25,1,1,2,4,0.001893939393939394,0.007575757575757576,528,0,KOR,4.0,0,36,80,1908,0,0,Finland
1992,FIN,29,1,2,2,5,0.0017452006980802793,0.008726003490401396,573,0,ESP,4.0,0,40,84,1908,0,0,Finland
1996,FIN,40,1,2,1,4,0.0016556291390728477,0.006622516556291391,604,0,USA,4.0,0,44,88,1908,0,0,Finland
2000,FIN,31,2,1,1,4,0.0029985007496251873,0.005997001499250375,667,0,AUS,4.0,0,48,92,1908,0,0,Finland
2004,FIN,61,0,2,0,2,0.0,0.0029895366218236174,669,0,GRE,4.0,0,52,96,1908,0,0,Finland
2008,FIN,44,1,1,2,4,0.0014858841010401188,0.005943536404160475,673,0,CHN,4.0,0,56,100,1908,0,0,Finland
2012,FIN,60,0,2,1,3,0.0,0.004477611940298508,670,0,GBR,4.0,0,60,104,1908,0,0,Finland
2016,FIN,78,0,0,1,1,0.0,0.001466275659824047,682,0,BRA,4.0,0,64,108,1908,0,0,Finland
2020,FIN,85,0,0,2,2,0.0,0.002628120893561104,761,0,JPN,4.0,0,68,112,1908,0,0,Finland
1996,FR Yugoslavia,41,1,1,2,4,0.0016556291390728477,0.006622516556291391,604,0,USA,0.0,0,999,0,1996,0,0,FR Yugoslavia
2000,FR Yugoslavia,44,1,1,1,3,0.0014992503748125937,0.004497751124437781,667,0,AUS,4.0,0,999,4,1996,0,0,FR Yugoslavia
1896,FRA,4,5,4,2,11,0.04672897196261682,0.102803738317757,107,0,GRE,0.0,0,999,0,1896,0,0,France
1900,FRA,1,27,39,37,103,0.11440677966101695,0.4364406779661017,236,1,FRA,4.0,0,0,4,1896,0,0,France
1904,FRA,13,0,1,0,1,0.0,0.004464285714285714,224,0,USA,4.0,0,4,8,1896,0,0,France
1908,FRA,4,5,5,9,19,0.018726591760299626,0.07116104868913857,267,0,GBR,4.0,0,8,12,1896,0,0,France
1912,FRA,5,7,4,3,14,0.029661016949152543,0.059322033898305086,236,0,SWE,4.0,0,12,16,1896,0,0,France
1920,FRA,8,9,19,13,41,0.024793388429752067,0.11294765840220386,363,0,BEL,8.0,1,20,24,1896,0,0,France
1924,FRA,3,13,15,10,38,0.04452054794520548,0.13013698630136986,292,1,FRA,4.0,0,0,28,1896,0,0,France
1928,FRA,7,6,10,5,21,0.023809523809523808,0.08333333333333333,252,0,NED,4.0,0,4,32,1896,0,0,France
1932,FRA,3,11,5,4,20,0.041044776119402986,0.07462686567164178,268,0,USA,4.0,0,8,36,1896,0,0,France
1936,FRA,6,7,6,6,19,0.023178807947019868,0.06291390728476821,302,0,GER,4.0,0,12,40,1896,0,0,France
1948,FRA,3,10,6,13,29,0.03205128205128205,0.09294871794871795,312,0,GBR,12.0,1,24,52,1896,0,0,France
1952,FRA,7,6,6,6,18,0.01775147928994083,0.05325443786982249,338,0,FIN,4.0,0,28,56,1896,0,0,France
1956,FRA,11,4,4,6,14,0.011695906432748537,0.04093567251461988,342,0,AUS,4.0,0,32,60,1896,0,0,France
1960,FRA,25,0,2,3,5,0.0,0.014705882352941176,340,0,ITA,4.0,0,36,64,1896,0,0,France
1964,FRA,21,1,8,6,15,0.002702702702702703,0.04054054054054054,370,0,JPN,4.0,0,40,68,1896,0,0,France
1968,FRA,6,7,3,5,15,0.018134715025906734,0.038860103626943004,386,0,MEX,4.0,0,44,72,1896,0,0,France
1972,FRA,17,2,4,7,13,0.004555808656036446,0.029612756264236904,439,0,GER,4.0,0,48,76,1896,0,0,France
1976,FRA,15,2,3,4,9,0.0045045045045045045,0.02027027027027027,444,0,CAN,4.0,0,52,80,1896,0,0,France
1980,FRA,8,6,5,3,14,0.013215859030837005,0.030837004405286344,454,0,RUS,4.0,0,56,84,1896,0,0,France
1984,FRA,12,5,7,16,28,0.01016260162601626,0.056910569105691054,492,0,USA,4.0,0,60,88,1896,0,0,France
1988,FRA,9,6,4,6,16,0.011363636363636364,0.030303030303030304,528,0,KOR,4.0,0,64,92,1896,0,0,France
1992,FRA,9,8,5,16,29,0.013961605584642234,0.0506108202443281,573,0,ESP,4.0,0,68,96,1896,0,0,France
1996,FRA,5,15,7,15,37,0.024834437086092714,0.061258278145695365,604,0,USA,4.0,0,72,100,1896,0,0,France
2000,FRA,6,13,14,11,38,0.019490254872563718,0.05697151424287856,667,0,AUS,4.0,0,76,104,1896,0,0,France
2004,FRA,7,11,9,13,33,0.016442451420029897,0.04932735426008968,669,0,GRE,4.0,0,80,108,1896,0,0,France
2008,FRA,10,7,16,20,43,0.010401188707280832,0.0638930163447251,673,0,CHN,4.0,0,84,112,1896,0,0,France
2012,FRA,7,11,11,13,35,0.016417910447761194,0.05223880597014925,670,0,GBR,4.0,0,88,116,1896,0,0,France
2016,FRA,7,10,18,14,42,0.01466275659824047,0.06158357771260997,682,0,BRA,4.0,0,92,120,1896,0,0,France
2020,FRA,8,10,12,11,33,0.013140604467805518,0.04336399474375821,761,0,JPN,4.0,0,96,124,1896,0,0,France
2024,FRA,5,16,26,22,64,0.02168021680216802,0.08672086720867209,738,1,FRA,4.0,0,0,128,1896,0,0,France
1960,Formosa,32,0,1,0,1,0.0,0.0029411764705882353,340,0,ITA,0.0,0,999,0,1960,0,0,Formosa
2012,GAB,70,0,1,0,1,0.0,0.0014925373134328358,670,0,GBR,0.0,0,999,0,2012,0,0,Gabon
1896,GBR,5,2,3,2,7,0.018691588785046728,0.06542056074766354,107,0,GRE,0.0,0,999,0,1896,0,0,Great Britain
1900,GBR,3,15,7,9,31,0.0635593220338983,0.13135593220338984,236,0,FRA,4.0,0,999,4,1896,0,0,Great Britain
1904,GBR,9,1,1,0,2,0.004464285714285714,0.008928571428571428,224,0,USA,4.0,0,999,8,1896,0,0,Great Britain
1908,GBR,1,56,51,39,146,0.20973782771535582,0.5468164794007491,267,1,GBR,4.0,0,0,12,1896,0,0,Great Britain
1912,GBR,3,10,15,16,41,0.0423728813559322,0.17372881355932204,236,0,SWE,4.0,0,4,16,1896,0,0,Great Britain
1920,GBR,4,14,15,13,42,0.03856749311294766,0.11570247933884298,363,0,BEL,8.0,1,12,24,1896,0,0,Great Britain
1924,GBR,4,9,13,12,34,0.030821917808219176,0.11643835616438356,292,0,FRA,4.0,0,16,28,1896,0,0,Great Britain
1928,GBR,11,3,10,7,20,0.011904761904761904,0.07936507936507936,252,0,NED,4.0,0,20,32,1896,0,0,Great Britain
1932,GBR,9,5,7,5,17,0.018656716417910446,0.06343283582089553,268,0,USA,4.0,0,24,36,1896,0,0,Great Britain
1936,GBR,12,4,7,3,14,0.013245033112582781,0.046357615894039736,302,0,GER,4.0,0,28,40,1896,0,0,Great Britain
1948,GBR,12,3,14,6,23,0.009615384615384616,0.07371794871794872,312,1,GBR,12.0,1,0,52,1896,0,0,Great Britain
1952,GBR,18,1,2,8,11,0.0029585798816568047,0.03254437869822485,338,0,FIN,4.0,0,4,56,1896,0,0,Great Britain
1956,GBR,8,6,7,11,24,0.017543859649122806,0.07017543859649122,342,0,AUS,4.0,0,8,60,1896,0,0,Great Britain
1960,GBR,12,2,6,12,20,0.0058823529411764705,0.058823529411764705,340,0,ITA,4.0,0,12,64,1896,0,0,Great Britain
1964,GBR,10,4,12,2,18,0.010810810810810811,0.04864864864864865,370,0,JPN,4.0,0,16,68,1896,0,0,Great Britain
1968,GBR,10,5,5,3,13,0.012953367875647668,0.03367875647668394,386,0,MEX,4.0,0,20,72,1896,0,0,Great Britain
1972,GBR,12,4,5,9,18,0.009111617312072893,0.04100227790432802,439,0,GER,4.0,0,24,76,1896,0,0,Great Britain
1976,GBR,13,3,5,5,13,0.006756756756756757,0.02927927927927928,444,0,CAN,4.0,0,28,80,1896,0,0,Great Britain
1980,GBR,9,5,7,9,21,0.011013215859030838,0.046255506607929514,454,0,RUS,4.0,0,32,84,1896,0,0,Great Britain
1984,GBR,11,5,11,21,37,0.01016260162601626,0.07520325203252033,492,0,USA,4.0,0,36,88,1896,0,0,Great Britain
1988,GBR,12,5,10,9,24,0.00946969696969697,0.045454545454545456,528,0,KOR,4.0,0,40,92,1896,0,0,Great Britain
1992,GBR,13,5,3,12,20,0.008726003490401396,0.034904013961605584,573,0,ESP,4.0,0,44,96,1896,0,0,Great Britain
1996,GBR,36,1,8,6,15,0.0016556291390728477,0.024834437086092714,604,0,USA,4.0,0,48,100,1896,0,0,Great Britain
2000,GBR,10,11,10,7,28,0.01649175412293853,0.041979010494752625,667,0,AUS,4.0,0,52,104,1896,0,0,Great Britain
2004,GBR,10,9,9,12,30,0.013452914798206279,0.04484304932735426,669,0,GRE,4.0,0,56,108,1896,0,0,Great Britain
2008,GBR,4,19,13,19,51,0.02823179791976226,0.07578008915304606,673,0,CHN,4.0,0,60,112,1896,0,0,Great Britain
2012,GBR,3,29,18,18,65,0.04328358208955224,0.09701492537313433,670,1,GBR,4.0,0,0,116,1896,0,0,Great Britain
2016,GBR,2,27,23,17,67,0.039589442815249266,0.09824046920821114,682,0,BRA,4.0,0,4,120,1896,0,0,Great Britain
2020,GBR,4,22,20,22,64,0.02890932982917214,0.08409986859395532,761,0,JPN,4.0,0,8,124,1896,0,0,Great Britain
2024,GBR,7,14,22,29,65,0.018970189701897018,0.08807588075880758,738,0,FRA,4.0,0,12,128,1896,0,0,Great Britain
1996,GEO,68,0,0,2,2,0.0,0.0033112582781456954,604,0,USA,0.0,0,999,0,1996,1,5,Georgia
2000,GEO,68,0,0,6,6,0.0,0.008995502248875561,667,0,AUS,4.0,0,999,4,1996,1,9,Georgia
2004,GEO,32,2,2,0,4,0.0029895366218236174,0.005979073243647235,669,0,GRE,4.0,0,999,8,1996,1,13,Georgia
2008,GEO,28,3,2,2,7,0.004457652303120356,0.010401188707280832,673,0,CHN,4.0,0,999,12,1996,1,17,Georgia
2012,GEO,40,1,2,3,6,0.0014925373134328358,0.008955223880597015,670,0,GBR,4.0,0,999,16,1996,1,21,Georgia
2016,GEO,38,2,1,4,7,0.002932551319648094,0.010263929618768328,682,0,BRA,4.0,0,999,20,1996,1,25,Georgia
2020,GEO,33,2,5,1,8,0.002628120893561104,0.010512483574244415,761,0,JPN,4.0,0,999,24,1996,1,29,Georgia
2024,GEO,24,3,3,1,7,0.0040650406504065045,0.009485094850948509,738,0,FRA,4.0,0,999,28,1996,1,33,Georgia
1896,GER,3,6,5,2,13,0.056074766355140186,0.12149532710280374,107,0,GRE,0.0,0,999,0,1896,0,0,Germany
1900,GER,7,4,3,2,9,0.01694915254237288,0.038135593220338986,236,0,FRA,4.0,0,999,4,1896,0,0,Germany
1904,GER,2,4,5,6,15,0.017857142857142856,0.06696428571428571,224,0,USA,4.0,0,999,8,1896,0,0,Germany
1908,GER,5,3,5,5,13,0.011235955056179775,0.04868913857677903,267,0,GBR,4.0,0,999,12,1896,0,0,Germany
1912,GER,6,5,13,7,25,0.0211864406779661,0.1059322033898305,236,0,SWE,4.0,0,999,16,1896,0,0,Germany
1928,GER,2,10,7,14,31,0.03968253968253968,0.12301587301587301,252,0,NED,16.0,0,999,32,1896,0,0,Germany
1932,GER,7,5,12,7,24,0.018656716417910446,0.08955223880597014,268,0,USA,4.0,0,999,36,1896,0,0,Germany
1936,GER,1,38,31,32,101,0.12582781456953643,0.3344370860927152,302,1,GER,4.0,0,0,40,1896,0,0,Germany
1952,GER,28,0,7,17,24,0.0,0.07100591715976332,338,0,FIN,16.0,0,16,56,1896,0,0,Germany
1968,GER,5,9,9,7,25,0.023316062176165803,0.06476683937823834,386,0,MEX,16.0,0,32,72,1896,0,0,East Germany
1968,GER,8,5,11,10,26,0.012953367875647668,0.06735751295336788,386,0,MEX,0.0,0,32,72,1896,0,0,West Germany
1972,GER,3,20,23,23,66,0.04555808656036447,0.15034168564920272,439,1,GER,4.0,0,0,76,1896,0,0,East Germany
1972,GER,4,13,11,16,40,0.029612756264236904,0.09111617312072894,439,1,GER,0.0,0,0,76,1896,0,0,West Germany
1976,GER,2,40,25,25,90,0.09009009009009009,0.20270270270270271,444,0,CAN,4.0,0,4,80,1896,0,0,East Germany
1976,GER,4,10,12,17,39,0.02252252252252252,0.08783783783783784,444,0,CAN,0.0,0,4,80,1896,0,0,West Germany
1980,GER,2,47,37,42,126,0.10352422907488987,0.2775330396475771,454,0,RUS,4.0,0,8,84,1896,0,0,East Germany
1984,GER,3,17,19,23,59,0.034552845528455285,0.11991869918699187,492,0,USA,4.0,0,12,88,1896,0,0,West Germany
1988,GER,2,37,35,30,102,0.07007575757575757,0.19318181818181818,528,0,KOR,4.0,0,16,92,1896,0,0,East Germany
1988,GER,5,11,14,15,40,0.020833333333333332,0.07575757575757576,528,0,KOR,0.0,0,16,92,1896,0,0,West Germany
1992,GER,3,33,21,28,82,0.05759162303664921,0.1431064572425829,573,0,ESP,4.0,0,20,96,1896,0,0,Germany
1996,GER,3,20,18,27,65,0.033112582781456956,0.1076158940397351,604,0,USA,4.0,0,24,100,1896,0,0,Germany
2000,GER,5,13,17,26,56,0.019490254872563718,0.08395802098950525,667,0,AUS,4.0,0,28,104,1896,0,0,Germany
2004,GER,6,13,16,20,49,0.01943198804185351,0.07324364723467862,669,0,GRE,4.0,0,32,108,1896,0,0,Germany
2008,GER,5,16,11,14,41,0.0237741456166419,0.06092124814264487,673,0,CHN,4.0,0,36,112,1896,0,0,Germany
2012,GER,6,11,20,13,44,0.016417910447761194,0.06567164179104477,670,0,GBR,4.0,0,40,116,1896,0,0,Germany
2016,GER,5,17,10,15,42,0.024926686217008796,0.06158357771260997,682,0,BRA,4.0,0,44,120,1896,0,0,Germany
2020,GER,9,10,11,16,37,0.013140604467805518,0.04862023653088042,761,0,JPN,4.0,0,48,124,1896,0,0,Germany
2024,GER,10,12,13,8,33,0.016260162601626018,0.044715447154471545,738,0,FRA,4.0,0,52,128,1896,0,0,Germany
1960,GHA,32,0,1,0,1,0.0,0.0029411764705882353,340,0,ITA,0.0,0,999,0,1960,0,0,Ghana
1964,GHA,35,0,0,1,1,0.0,0.002702702702702703,370,0,JPN,4.0,0,999,4,1960,0,0,Ghana
1972,GHA,43,0,0,1,1,0.0,0.002277904328018223,439,0,GER,8.0,0,999,12,1960,0,0,Ghana
1992,GHA,54,0,0,1,1,0.0,0.0017452006980802793,573,0,ESP,20.0,0,999,32,1960,0,0,Ghana
2020,GHA,86,0,0,1,1,0.0,0.001314060446780552,761,0,JPN,28.0,0,999,60,1960,0,0,Ghana
1896,GRE,2,10,18,19,47,0.09345794392523364,0.4392523364485981,107,1,GRE,0.0,0,0,0,1896,0,0,Greece
1904,GRE,11,1,0,1,2,0.004464285714285714,0.008928571428571428,224,0,USA,8.0,0,8,8,1896,0,0,Greece
1908,GRE,15,0,3,1,4,0.0,0.0149812734082397,267,0,GBR,4.0,0,12,12,1896,0,0,Greece
1912,GRE,15,1,0,1,2,0.00423728813559322,0.00847457627118644,236,0,SWE,4.0,0,16,16,1896,0,0,Greece
1920,GRE,19,0,1,0,1,0.0,0.0027548209366391185,363,0,BEL,8.0,1,24,24,1896,0,0,Greece
1956,GRE,35,0,0,1,1,0.0,0.0029239766081871343,342,0,AUS,36.0,0,60,60,1896,0,0,Greece
1960,GRE,21,1,0,0,1,0.0029411764705882353,0.0029411764705882353,340,0,ITA,4.0,0,64,64,1896,0,0,Greece
1968,GRE,42,0,0,1,1,0.0,0.0025906735751295338,386,0,MEX,8.0,0,72,72,1896,0,0,Greece
1972,GRE,29,0,2,0,2,0.0,0.004555808656036446,439,0,GER,4.0,0,76,76,1896,0,0,Greece
1980,GRE,22,1,0,2,3,0.0022026431718061676,0.006607929515418502,454,0,RUS,8.0,0,84,84,1896,0,0,Greece
1984,GRE,30,0,1,1,2,0.0,0.0040650406504065045,492,0,USA,4.0,0,88,88,1896,0,0,Greece
1988,GRE,46,0,0,1,1,0.0,0.001893939393939394,528,0,KOR,4.0,0,92,92,1896,0,0,Greece
1992,GRE,26,2,0,0,2,0.0034904013961605585,0.0034904013961605585,573,0,ESP,4.0,0,96,96,1896,0,0,Greece
1996,GRE,16,4,4,0,8,0.006622516556291391,0.013245033112582781,604,0,USA,4.0,0,100,100,1896,0,0,Greece
2000,GRE,17,4,6,3,13,0.005997001499250375,0.019490254872563718,667,0,AUS,4.0,0,104,104,1896,0,0,Greece
2004,GRE,15,6,6,4,16,0.008968609865470852,0.02391629297458894,669,1,GRE,4.0,0,0,108,1896,0,0,Greece
2008,GRE,60,0,2,1,3,0.0,0.004457652303120356,673,0,CHN,4.0,0,4,112,1896,0,0,Greece
2012,GRE,77,0,0,2,2,0.0,0.0029850746268656717,670,0,GBR,4.0,0,8,116,1896,0,0,Greece
2016,GRE,25,3,1,2,6,0.004398826979472141,0.008797653958944282,682,0,BRA,4.0,0,12,120,1896,0,0,Greece
2020,GRE,36,2,1,1,4,0.002628120893561104,0.005256241787122208,761,0,JPN,4.0,0,16,124,1896,0,0,Greece
2024,GRE,51,1,1,6,8,0.0013550135501355014,0.01084010840108401,738,0,FRA,4.0,0,20,128,1896,0,0,Greece
2012,GRN,50,1,0,0,1,0.0014925373134328358,0.0014925373134328358,670,0,GBR,0.0,0,999,0,2012,0,0,Grenada
2016,GRN,69,0,1,0,1,0.0,0.001466275659824047,682,0,BRA,4.0,0,999,4,2012,0,0,Grenada
2020,GRN,86,0,0,1,1,0.0,0.001314060446780552,761,0,JPN,4.0,0,999,8,2012,0,0,Grenada
2024,GRN,80,0,0,2,2,0.0,0.0027100271002710027,738,0,FRA,4.0,0,999,12,2012,0,0,Grenada
2012,GUA,70,0,1,0,1,0.0,0.0014925373134328358,670,0,GBR,0.0,0,999,0,2012,0,0,Guatemala
2024,GUA,60,1,0,1,2,0.0013550135501355014,0.0027100271002710027,738,0,FRA,12.0,0,999,12,2012,0,0,Guatemala
1980,GUY,35,0,0,1,1,0.0,0.0022026431718061676,454,0,RUS,0.0,0,999,0,1980,0,0,Guyana
1924,HAI,23,0,0,1,1,0.0,0.003424657534246575,292,0,FRA,0.0,0,999,0,1924,0,0,Haiti
1928,HAI,30,0,1,0,1,0.0,0.003968253968253968,252,0,NED,4.0,0,999,4,1924,0,0,Haiti
1996,HKG,49,1,0,0,1,0.0016556291390728477,0.0016556291390728477,604,0,USA,0.0,0,999,0,1996,0,0,Hong Kong
2004,HKG,65,0,1,0,1,0.0,0.0014947683109118087,669,0,GRE,8.0,0,999,8,1996,0,0,Hong Kong
2012,HKG,79,0,0,1,1,0.0,0.0014925373134328358,670,0,GBR,8.0,0,999,16,1996,0,0,Hong Kong
2020,HKG,49,1,2,3,6,0.001314060446780552,0.00788436268068331,761,0,JPN,8.0,0,999,24,1996,0,0,Hong Kong
2024,HKG,37,2,0,2,4,0.0027100271002710027,0.005420054200542005,738,0,FRA,4.0,0,999,28,1996,0,0,Hong Kong
1896,HUN,6,2,1,3,6,0.018691588785046728,0.056074766355140186,107,0,GRE,0.0,0,999,0,1896,0,0,Hungary
1900,HUN,11,1,2,2,5,0.00423728813559322,0.0211864406779661,236,0,FRA,4.0,0,999,4,1896,0,0,Hungary
1904,HUN,5,2,1,1,4,0.008928571428571428,0.017857142857142856,224,0,USA,4.0,0,999,8,1896,0,0,Hungary
1908,HUN,6,3,4,2,9,0.011235955056179775,0.033707865168539325,267,0,GBR,4.0,0,999,12,1896,0,0,Hungary
1912,HUN,9,3,2,3,8,0.012711864406779662,0.03389830508474576,236,0,SWE,4.0,0,999,16,1896,0,0,Hungary
1924,HUN,13,2,3,4,9,0.00684931506849315,0.030821917808219176,292,0,FRA,12.0,0,999,28,1896,0,0,Hungary
1928,HUN,9,4,5,0,9,0.015873015873015872,0.03571428571428571,252,0,NED,4.0,0,999,32,1896,0,0,Hungary
1932,HUN,6,6,5,5,16,0.022388059701492536,0.05970149253731343,268,0,USA,4.0,0,999,36,1896,0,0,Hungary
1936,HUN,3,10,1,5,16,0.033112582781456956,0.052980132450331126,302,0,GER,4.0,0,999,40,1896,0,0,Hungary
1948,HUN,4,10,5,12,27,0.03205128205128205,0.08653846153846154,312,0,GBR,12.0,1,999,52,1896,0,0,Hungary
1952,HUN,3,16,10,16,42,0.047337278106508875,0.1242603550295858,338,0,FIN,4.0,0,999,56,1896,0,0,Hungary
1956,HUN,4,9,10,7,26,0.02631578947368421,0.07602339181286549,342,0,AUS,4.0,0,999,60,1896,0,0,Hungary
1960,HUN,7,6,8,7,21,0.01764705882352941,0.061764705882352944,340,0,ITA,4.0,0,999,64,1896,0,0,Hungary
1964,HUN,6,10,7,5,22,0.02702702702702703,0.05945945945945946,370,0,JPN,4.0,0,999,68,1896,0,0,Hungary
1968,HUN,4,10,10,12,32,0.025906735751295335,0.08290155440414508,386,0,MEX,4.0,0,999,72,1896,0,0,Hungary
1972,HUN,8,6,13,16,35,0.01366742596810934,0.07972665148063782,439,0,GER,4.0,0,999,76,1896,0,0,Hungary
1976,HUN,10,4,5,13,22,0.009009009009009009,0.04954954954954955,444,0,CAN,4.0,0,999,80,1896,0,0,Hungary
1980,HUN,6,7,10,15,32,0.015418502202643172,0.07048458149779736,454,0,RUS,4.0,0,999,84,1896,0,0,Hungary
1988,HUN,6,11,6,6,23,0.020833333333333332,0.043560606060606064,528,0,KOR,8.0,0,999,92,1896,0,0,Hungary
1992,HUN,8,11,12,7,30,0.019197207678883072,0.05235602094240838,573,0,ESP,4.0,0,999,96,1896,0,0,Hungary
1996,HUN,12,7,4,10,21,0.011589403973509934,0.0347682119205298,604,0,USA,4.0,0,999,100,1896,0,0,Hungary
2000,HUN,13,8,6,3,17,0.01199400299850075,0.025487256371814093,667,0,AUS,4.0,0,999,104,1896,0,0,Hungary
2004,HUN,12,8,6,3,17,0.01195814648729447,0.025411061285500747,669,0,GRE,4.0,0,999,108,1896,0,0,Hungary
2008,HUN,21,3,5,2,10,0.004457652303120356,0.014858841010401188,673,0,CHN,4.0,0,999,112,1896,0,0,Hungary
2012,HUN,10,8,4,6,18,0.011940298507462687,0.026865671641791045,670,0,GBR,4.0,0,999,116,1896,0,0,Hungary
2016,HUN,12,8,3,4,15,0.011730205278592375,0.021994134897360705,682,0,BRA,4.0,0,999,120,1896,0,0,Hungary
2020,HUN,15,6,7,7,20,0.00788436268068331,0.026281208935611037,761,0,JPN,4.0,0,999,124,1896,0,0,Hungary
2024,HUN,14,6,7,6,19,0.008130081300813009,0.025745257452574527,738,0,FRA,4.0,0,999,128,1896,0,0,Hungary
1988,INA,36,0,1,0,1,0.0,0.001893939393939394,528,0,KOR,0.0,0,999,0,1988,0,0,Indonesia
1992,INA,24,2,2,1,5,0.0034904013961605585,0.008726003490401396,573,0,ESP,4.0,0,999,4,1988,0,0,Indonesia
1996,INA,41,1,1,2,4,0.0016556291390728477,0.006622516556291391,604,0,USA,4.0,0,999,8,1988,0,0,Indonesia
2000,INA,38,1,3,2,6,0.0014992503748125937,0.008995502248875561,667,0,AUS,4.0,0,999,12,1988,0,0,Indonesia
2004,INA,48,1,1,2,4,0.0014947683109118087,0.005979073243647235,669,0,GRE,4.0,0,999,16,1988,0,0,Indonesia
2008,INA,40,1,1,4,6,0.0014858841010401188,0.008915304606240713,673,0,CHN,4.0,0,999,20,1988,0,0,Indonesia
2012,INA,60,0,2,1,3,0.0,0.004477611940298508,670,0,GBR,4.0,0,999,24,1988,0,0,Indonesia
2016,INA,46,1,2,0,3,0.001466275659824047,0.004398826979472141,682,0,BRA,4.0,0,999,28,1988,0,0,Indonesia
2020,INA,55,1,1,3,5,0.001314060446780552,0.006570302233902759,761,0,JPN,4.0,0,999,32,1988,0,0,Indonesia
2024,INA,39,2,0,1,3,0.0027100271002710027,0.0040650406504065045,738,0,FRA,4.0,0,999,36,1988,0,0,Indonesia
1900,IND,19,0,2,0,2,0.0,0.00847457627118644,236,0,FRA,0.0,0,999,0,1900,0,0,India
1928,IND,24,1,0,0,1,0.003968253968253968,0.003968253968253968,252,0,NED,28.0,0,999,28,1900,0,0,India
1932,IND,19,1,0,0,1,0.0037313432835820895,0.0037313432835820895,268,0,USA,4.0,0,999,32,1900,0,0,India
1936,IND,20,1,0,0,1,0.0033112582781456954,0.0033112582781456954,302,0,GER,4.0,0,999,36,1900,0,0,India
1948,IND,22,1,0,0,1,0.003205128205128205,0.003205128205128205,312,0,GBR,12.0,1,999,48,1900,0,0,India
1952,IND,26,1,0,1,2,0.0029585798816568047,0.005917159763313609,338,0,FIN,4.0,0,999,52,1900,0,0,India
1956,IND,24,1,0,0,1,0.0029239766081871343,0.0029239766081871343,342,0,AUS,4.0,0,999,56,1900,0,0,India
1960,IND,32,0,1,0,1,0.0,0.0029411764705882353,340,0,ITA,4.0,0,999,60,1900,0,0,India
1964,IND,24,1,0,0,1,0.002702702702702703,0.002702702702702703,370,0,JPN,4.0,0,999,64,1900,0,0,India
1968,IND,42,0,0,1,1,0.0,0.0025906735751295338,386,0,MEX,4.0,0,999,68,1900,0,0,India
1972,IND,43,0,0,1,1,0.0,0.002277904328018223,439,0,GER,4.0,0,999,72,1900,0,0,India
1980,IND,23,1,0,0,1,0.0022026431718061676,0.0022026431718061676,454,0,RUS,8.0,0,999,80,1900,0,0,India
1996,IND,71,0,0,1,1,0.0,0.0016556291390728477,604,0,USA,16.0,0,999,96,1900,0,0,India
2000,IND,71,0,0,1,1,0.0,0.0014992503748125937,667,0,AUS,4.0,0,999,100,1900,0,0,India
2004,IND,65,0,1,0,1,0.0,0.0014947683109118087,669,0,GRE,4.0,0,999,104,1900,0,0,India
2008,IND,51,1,0,2,3,0.0014858841010401188,0.004457652303120356,673,0,CHN,4.0,0,999,108,1900,0,0,India
2012,IND,57,0,2,4,6,0.0,0.008955223880597015,670,0,GBR,4.0,0,999,112,1900,0,0,India
